Contour                                                   ,Clip                           ,SNR_Vertical ,SNR_Horizontal
pc_20170728_032159_ch06_sel78_setteac101_hawaii_ROCCA.csv ,20170728_032159_ch06_sel78.wav ,4.1065       ,16.3188
pc_20170728_032159_ch06_sel79_setteac101_hawaii_ROCCA.csv ,20170728_032159_ch06_sel79.wav ,16.8866      ,19.4223
pc_20170728_032259_sel_02_Sette_AC_101_Hawaii.csv         ,20170728_032259_sel_02.wav     ,1.3577       ,8.3109
pc_20170728_032259_sel_04_Sette_AC_101_Hawaii.csv         ,20170728_032259_sel_04.wav     ,6.8291       ,12.984
pc_20170728_032259_sel_07_Sette_AC_101_Hawaii.csv         ,20170728_032259_sel_07.wav     ,5.1377       ,18.0391
pc_20170728_032259_sel_08_Sette_AC_101_Hawaii.csv         ,20170728_032259_sel_08.wav     ,3.5128       ,12.1145
pc_20170728_032259_sel_11_Sette_AC_101_Hawaii.csv         ,20170728_032259_sel_11.wav     ,1.5832       ,7.8612
pc_20170728_032259_sel_13_Sette_AC_101_Hawaii.csv         ,20170728_032259_sel_13.wav     ,4.1497       ,12.8999
pc_20170728_032259_sel_16_Sette_AC_101_Hawaii.csv         ,20170728_032259_sel_16.wav     ,3.0191       ,9.3411
pc_20170728_032259_sel_18_Sette_AC_101_Hawaii.csv         ,20170728_032259_sel_18.wav     ,13.5716      ,21.8983
pc_20170728_032259_sel_19_Sette_AC_101_Hawaii.csv         ,20170728_032259_sel_19.wav     ,-0.38319     ,14.466
pc_20170728_032259_sel_20_Sette_AC_101_Hawaii.csv         ,20170728_032259_sel_20.wav     ,0.9786       ,15.9999
pc_20170728_032259_sel_21_Sette_AC_101_Hawaii.csv         ,20170728_032259_sel_21.wav     ,4.9567       ,16.4785
pc_20170728_032259_sel_22_Sette_AC_101_Hawaii.csv         ,20170728_032259_sel_22.wav     ,0.88454      ,11.2675
pc_20170728_032259_sel_23_Sette_AC_101_Hawaii.csv         ,20170728_032259_sel_23.wav     ,2.9851       ,14.0452
pc_20170728_032259_sel_25_Sette_AC_101_Hawaii.csv         ,20170728_032259_sel_25.wav     ,13           ,16.9761
pc_20170728_032259_sel_26_Sette_AC_101_Hawaii.csv         ,20170728_032259_sel_26.wav     ,2.0042       ,12.6205
pc_20170728_032259_sel_27_Sette_AC_101_Hawaii.csv         ,20170728_032259_sel_27.wav     ,3.6471       ,13.6266
pc_20170728_032259_sel_28_Sette_AC_101_Hawaii.csv         ,20170728_032259_sel_28.wav     ,5.4568       ,12.3358
pc_20170728_032259_sel_29_Sette_AC_101_Hawaii.csv         ,20170728_032259_sel_29.wav     ,5.2192       ,15.7939
pc_20170728_032259_sel_30_Sette_AC_101_Hawaii.csv         ,20170728_032259_sel_30.wav     ,3.84         ,12.6576
pc_20170728_032259_sel_31_Sette_AC_101_Hawaii.csv         ,20170728_032259_sel_31.wav     ,6.4734       ,19.7167
pc_20170728_032259_sel_32_Sette_AC_101_Hawaii.csv         ,20170728_032259_sel_32.wav     ,3.6896       ,23.2713
pc_20170728_032259_sel_33_Sette_AC_101_Hawaii.csv         ,20170728_032259_sel_33.wav     ,1.6036       ,17.7334
pc_20170728_032259_sel_34_Sette_AC_101_Hawaii.csv         ,20170728_032259_sel_34.wav     ,11.0735      ,27.7038
pc_20170728_032259_sel_35_Sette_AC_101_Hawaii.csv         ,20170728_032259_sel_35.wav     ,6.6581       ,20.1452
pc_20170728_032259_sel_36_Sette_AC_101_Hawaii.csv         ,20170728_032259_sel_36.wav     ,2.9939       ,12.9613
pc_20170728_032259_sel_37_Sette_AC_101_Hawaii.csv         ,20170728_032259_sel_37.wav     ,6.3411       ,24.1015
pc_20170728_032259_sel_38_Sette_AC_101_Hawaii.csv         ,20170728_032259_sel_38.wav     ,7.6699       ,21.8057
pc_20170728_032259_sel_39_Sette_AC_101_Hawaii.csv         ,20170728_032259_sel_39.wav     ,6.6877       ,15.316
pc_20170728_032259_sel_40_Sette_AC_101_Hawaii.csv         ,20170728_032259_sel_40.wav     ,4.6676       ,21.1862
pc_20170728_032259_sel_41_Sette_AC_101_Hawaii.csv         ,20170728_032259_sel_41.wav     ,7.2534       ,23.0792
pc_20170728_032359_ch3_sel_01_Sette_AC_101_Hawaii.csv     ,20170728_032359_ch3_sel_01.wav ,18.7145      ,20.4112
pc_20170728_032359_ch3_sel_02_Sette_AC_101_Hawaii.csv     ,20170728_032359_ch3_sel_02.wav ,8.0883       ,16.0803
pc_20170728_032359_ch3_sel_03_Sette_AC_101_Hawaii.csv     ,20170728_032359_ch3_sel_03.wav ,11.4055      ,24.2144
pc_20170728_032359_ch3_sel_04_Sette_AC_101_Hawaii.csv     ,20170728_032359_ch3_sel_04.wav ,6.5193       ,16.5184
pc_20170728_032359_ch3_sel_05_Sette_AC_101_Hawaii.csv     ,20170728_032359_ch3_sel_05.wav ,36.7814      ,40.3972
pc_20170728_032359_ch3_sel_09_Sette_AC_101_Hawaii.csv     ,20170728_032359_ch3_sel_09.wav ,14.7753      ,17.4902
pc_20170728_032359_ch3_sel_10_Sette_AC_101_Hawaii.csv     ,20170728_032359_ch3_sel_10.wav ,7.4954       ,6.385
pc_20170728_032359_ch3_sel_12_Sette_AC_101_Hawaii.csv     ,20170728_032359_ch3_sel_12.wav ,16.0721      ,16.897
pc_20170728_032359_ch3_sel_14_Sette_AC_101_Hawaii.csv     ,20170728_032359_ch3_sel_14.wav ,21.7104      ,19.9029
pc_20170728_032359_ch3_sel_15_Sette_AC_101_Hawaii.csv     ,20170728_032359_ch3_sel_15.wav ,12.0018      ,24.8888
pc_20170728_032359_ch3_sel_16_Sette_AC_101_Hawaii.csv     ,20170728_032359_ch3_sel_16.wav ,18.1039      ,7.7168
pc_20170728_032359_ch3_sel_17_Sette_AC_101_Hawaii.csv     ,20170728_032359_ch3_sel_17.wav ,24.2357      ,20.3038
pc_20170728_032359_ch3_sel_18_Sette_AC_101_Hawaii.csv     ,20170728_032359_ch3_sel_18.wav ,11.5364      ,13.5354
pc_20170728_032359_ch3_sel_19_Sette_AC_101_Hawaii.csv     ,20170728_032359_ch3_sel_19.wav ,12.8897      ,9.8154
pc_20170728_032359_ch3_sel_20_Sette_AC_101_Hawaii.csv     ,20170728_032359_ch3_sel_20.wav ,11.1595      ,14.3197
pc_20170728_032359_ch3_sel_21_Sette_AC_101_Hawaii.csv     ,20170728_032359_ch3_sel_21.wav ,8.1478       ,20.3992
pc_20170728_032659_sel_06_Sette_AC_101_Hawaii.csv         ,20170728_032659_sel_06.wav     ,3.1254       ,8.9299
pc_20170728_032659_sel_07_Sette_AC_101_Hawaii.csv         ,20170728_032659_sel_07.wav     ,1.116        ,9.4753
pc_20170728_032659_sel_10_Sette_AC_101_Hawaii.csv         ,20170728_032659_sel_10.wav     ,0.96409      ,8.4867
pc_20170728_032659_sel_11_Sette_AC_101_Hawaii.csv         ,20170728_032659_sel_11.wav     ,2.7032       ,7.6484
pc_20170728_032659_sel_23_Sette_AC_101_Hawaii.csv         ,20170728_032659_sel_23.wav     ,1.3426       ,8.3311
pc_20170728_032759_ch3_sel_15_Sette_AC_101_Hawaii.csv     ,20170728_032759_ch3_sel_15.wav ,2.3564       ,5.1462
pc_20170728_032759_ch3_sel_19_Sette_AC_101_Hawaii.csv     ,20170728_032759_ch3_sel_19.wav ,3.6579       ,9.8022
pc_20170728_032859_sel_02_Sette_AC_101_Hawaii.csv         ,20170728_032859_sel_02.wav     ,2.0018       ,2.4031
pc_20170728_032859_sel_11_Sette_AC_101_Hawaii.csv         ,20170728_032859_sel_11.wav     ,0.6064       ,6.3921
pc_20170728_032859_sel_15_Sette_AC_101_Hawaii.csv         ,20170728_032859_sel_15.wav     ,0.58567      ,12.2434
pc_20170728_032859_sel_16_Sette_AC_101_Hawaii.csv         ,20170728_032859_sel_16.wav     ,1.6668       ,6.4834
pc_20170728_032859_sel_17_Sette_AC_101_Hawaii.csv         ,20170728_032859_sel_17.wav     ,5.331        ,7.7205
