Contour                                                   ,Clip                           ,SNR_Vertical ,SNR_Horizontal
pc_20170728_032159_ch06_sel78_setteac101_hawaii_ROCCA.csv ,20170728_032159_ch06_sel78.wav ,12.6483      ,16.3188
pc_20170728_032159_ch06_sel79_setteac101_hawaii_ROCCA.csv ,20170728_032159_ch06_sel79.wav ,17.8444      ,19.4223
pc_20170728_032259_sel_02_Sette_AC_101_Hawaii.csv         ,20170728_032259_sel_02.wav     ,2.1789       ,8.3109
pc_20170728_032259_sel_04_Sette_AC_101_Hawaii.csv         ,20170728_032259_sel_04.wav     ,7.8351       ,12.984
pc_20170728_032259_sel_07_Sette_AC_101_Hawaii.csv         ,20170728_032259_sel_07.wav     ,13.2457      ,18.0391
pc_20170728_032259_sel_08_Sette_AC_101_Hawaii.csv         ,20170728_032259_sel_08.wav     ,7.3917       ,12.1145
pc_20170728_032259_sel_11_Sette_AC_101_Hawaii.csv         ,20170728_032259_sel_11.wav     ,5.4943       ,7.8612
pc_20170728_032259_sel_13_Sette_AC_101_Hawaii.csv         ,20170728_032259_sel_13.wav     ,9.8106       ,12.8999
pc_20170728_032259_sel_16_Sette_AC_101_Hawaii.csv         ,20170728_032259_sel_16.wav     ,4.9304       ,9.3411
pc_20170728_032259_sel_18_Sette_AC_101_Hawaii.csv         ,20170728_032259_sel_18.wav     ,19.4437      ,21.8983
pc_20170728_032259_sel_19_Sette_AC_101_Hawaii.csv         ,20170728_032259_sel_19.wav     ,-1.7717      ,14.466
pc_20170728_032259_sel_20_Sette_AC_101_Hawaii.csv         ,20170728_032259_sel_20.wav     ,9.2791       ,15.9999
pc_20170728_032259_sel_21_Sette_AC_101_Hawaii.csv         ,20170728_032259_sel_21.wav     ,13.0864      ,16.4785
pc_20170728_032259_sel_22_Sette_AC_101_Hawaii.csv         ,20170728_032259_sel_22.wav     ,5.1666       ,11.2675
pc_20170728_032259_sel_23_Sette_AC_101_Hawaii.csv         ,20170728_032259_sel_23.wav     ,13.0439      ,14.0452
pc_20170728_032259_sel_25_Sette_AC_101_Hawaii.csv         ,20170728_032259_sel_25.wav     ,15.562       ,16.9761
pc_20170728_032259_sel_26_Sette_AC_101_Hawaii.csv         ,20170728_032259_sel_26.wav     ,10.6341      ,12.6205
pc_20170728_032259_sel_27_Sette_AC_101_Hawaii.csv         ,20170728_032259_sel_27.wav     ,12.1987      ,13.6266
pc_20170728_032259_sel_28_Sette_AC_101_Hawaii.csv         ,20170728_032259_sel_28.wav     ,16.3049      ,12.3358
pc_20170728_032259_sel_29_Sette_AC_101_Hawaii.csv         ,20170728_032259_sel_29.wav     ,8.8843       ,15.7939
pc_20170728_032259_sel_30_Sette_AC_101_Hawaii.csv         ,20170728_032259_sel_30.wav     ,18.913       ,12.6576
pc_20170728_032259_sel_31_Sette_AC_101_Hawaii.csv         ,20170728_032259_sel_31.wav     ,18.2259      ,19.7167
pc_20170728_032259_sel_32_Sette_AC_101_Hawaii.csv         ,20170728_032259_sel_32.wav     ,18.8463      ,23.2713
pc_20170728_032259_sel_33_Sette_AC_101_Hawaii.csv         ,20170728_032259_sel_33.wav     ,25.2264      ,17.7334
pc_20170728_032259_sel_34_Sette_AC_101_Hawaii.csv         ,20170728_032259_sel_34.wav     ,24.6769      ,27.7038
pc_20170728_032259_sel_35_Sette_AC_101_Hawaii.csv         ,20170728_032259_sel_35.wav     ,22.4319      ,20.1452
pc_20170728_032259_sel_36_Sette_AC_101_Hawaii.csv         ,20170728_032259_sel_36.wav     ,18.2306      ,12.9613
pc_20170728_032259_sel_37_Sette_AC_101_Hawaii.csv         ,20170728_032259_sel_37.wav     ,19.4974      ,24.1015
pc_20170728_032259_sel_38_Sette_AC_101_Hawaii.csv         ,20170728_032259_sel_38.wav     ,18.6514      ,21.8057
pc_20170728_032259_sel_39_Sette_AC_101_Hawaii.csv         ,20170728_032259_sel_39.wav     ,22.7015      ,15.316
pc_20170728_032259_sel_40_Sette_AC_101_Hawaii.csv         ,20170728_032259_sel_40.wav     ,25.3155      ,21.1862
pc_20170728_032259_sel_41_Sette_AC_101_Hawaii.csv         ,20170728_032259_sel_41.wav     ,21.0383      ,23.0792
pc_20170728_032359_ch3_sel_01_Sette_AC_101_Hawaii.csv     ,20170728_032359_ch3_sel_01.wav ,32.1787      ,20.4112
pc_20170728_032359_ch3_sel_02_Sette_AC_101_Hawaii.csv     ,20170728_032359_ch3_sel_02.wav ,31.9634      ,16.0803
pc_20170728_032359_ch3_sel_03_Sette_AC_101_Hawaii.csv     ,20170728_032359_ch3_sel_03.wav ,31.5064      ,24.2144
pc_20170728_032359_ch3_sel_04_Sette_AC_101_Hawaii.csv     ,20170728_032359_ch3_sel_04.wav ,35.5844      ,16.5184
pc_20170728_032359_ch3_sel_05_Sette_AC_101_Hawaii.csv     ,20170728_032359_ch3_sel_05.wav ,39.5421      ,40.3972
pc_20170728_032359_ch3_sel_09_Sette_AC_101_Hawaii.csv     ,20170728_032359_ch3_sel_09.wav ,28.0269      ,17.4902
pc_20170728_032359_ch3_sel_10_Sette_AC_101_Hawaii.csv     ,20170728_032359_ch3_sel_10.wav ,8.122        ,6.385
pc_20170728_032359_ch3_sel_12_Sette_AC_101_Hawaii.csv     ,20170728_032359_ch3_sel_12.wav ,25.5569      ,16.897
pc_20170728_032359_ch3_sel_14_Sette_AC_101_Hawaii.csv     ,20170728_032359_ch3_sel_14.wav ,25.1669      ,19.9029
pc_20170728_032359_ch3_sel_15_Sette_AC_101_Hawaii.csv     ,20170728_032359_ch3_sel_15.wav ,21.5624      ,24.8888
pc_20170728_032359_ch3_sel_16_Sette_AC_101_Hawaii.csv     ,20170728_032359_ch3_sel_16.wav ,27.2635      ,7.7168
pc_20170728_032359_ch3_sel_17_Sette_AC_101_Hawaii.csv     ,20170728_032359_ch3_sel_17.wav ,25.3792      ,20.3038
pc_20170728_032359_ch3_sel_18_Sette_AC_101_Hawaii.csv     ,20170728_032359_ch3_sel_18.wav ,11.895       ,13.5354
pc_20170728_032359_ch3_sel_19_Sette_AC_101_Hawaii.csv     ,20170728_032359_ch3_sel_19.wav ,13.4065      ,9.8154
pc_20170728_032359_ch3_sel_20_Sette_AC_101_Hawaii.csv     ,20170728_032359_ch3_sel_20.wav ,15.5183      ,14.3197
pc_20170728_032359_ch3_sel_21_Sette_AC_101_Hawaii.csv     ,20170728_032359_ch3_sel_21.wav ,20.4589      ,20.3992
pc_20170728_032659_sel_06_Sette_AC_101_Hawaii.csv         ,20170728_032659_sel_06.wav     ,3.7941       ,8.9299
pc_20170728_032659_sel_07_Sette_AC_101_Hawaii.csv         ,20170728_032659_sel_07.wav     ,3.2729       ,9.4753
pc_20170728_032659_sel_10_Sette_AC_101_Hawaii.csv         ,20170728_032659_sel_10.wav     ,3.138        ,8.4867
pc_20170728_032659_sel_11_Sette_AC_101_Hawaii.csv         ,20170728_032659_sel_11.wav     ,3.4489       ,7.6484
pc_20170728_032659_sel_23_Sette_AC_101_Hawaii.csv         ,20170728_032659_sel_23.wav     ,1.7858       ,8.3311
pc_20170728_032759_ch3_sel_15_Sette_AC_101_Hawaii.csv     ,20170728_032759_ch3_sel_15.wav ,2.8907       ,5.1462
pc_20170728_032759_ch3_sel_19_Sette_AC_101_Hawaii.csv     ,20170728_032759_ch3_sel_19.wav ,4.5878       ,9.8022
pc_20170728_032859_sel_02_Sette_AC_101_Hawaii.csv         ,20170728_032859_sel_02.wav     ,3.0995       ,2.4031
pc_20170728_032859_sel_11_Sette_AC_101_Hawaii.csv         ,20170728_032859_sel_11.wav     ,1.2272       ,6.3921
pc_20170728_032859_sel_15_Sette_AC_101_Hawaii.csv         ,20170728_032859_sel_15.wav     ,5.8452       ,12.2434
pc_20170728_032859_sel_16_Sette_AC_101_Hawaii.csv         ,20170728_032859_sel_16.wav     ,2.3485       ,6.4834
pc_20170728_032859_sel_17_Sette_AC_101_Hawaii.csv         ,20170728_032859_sel_17.wav     ,6.7827       ,7.7205
pc_20170728_032859_sel_18_Sette_AC_101_Hawaii.csv         ,20170728_032859_sel_18.wav     ,5.9671       ,6.8977
pc_20170728_032859_sel_20_Sette_AC_101_Hawaii.csv         ,20170728_032859_sel_20.wav     ,1.123        ,6.013
pc_20170728_032859_sel_44_Sette_AC_101_Hawaii.csv         ,20170728_032859_sel_44.wav     ,7.5227       ,11.1714
pc_20170728_033059_ch3_sel_01_setteac101_hawaii.csv       ,20170728_033059_ch3_sel_01.wav ,-0.61506     ,4.4029
pc_20170728_033159_ch4_sel_05_Sette_AC_101_Hawaii.csv     ,20170728_033159_ch4_sel_05.wav ,3.9441       ,8.2875
pc_20170728_033759_ch3_sel_09_Sette_AC_101_Hawaii.csv     ,20170728_033759_ch3_sel_09.wav ,1.9593       ,10.2104
